player_id,first_name,last_name,position,team,Ht,weight
14,Ike,Anigbogu,C,Indiana Pacers,,
25,Ron,Baker,G,New York Knicks,,
47,Jabari,Bird,G,Boston Celtics,,
67,MarShon,Brooks,G,Memphis Grizzlies,,
71,Lorenzo,Brown,G,Toronto Raptors,,
90,Omri,Casspi,F,Memphis Grizzlies,,
1,Alex,Abrines,G,Oklahoma City Thunder,1.9788000000000001,90.60000000000001
119,Tyler,Davis,C,Oklahoma City Thunder,,
149,Keenan,Evans,G,Detroit Pistons,,
179,Marcin,Gortat,C,LA Clippers,,
1593,Andrew,Bogut,F,Golden State Warriors,,
241,Amir,Johnson,C,Philadelphia 76ers,2.0538000000000003,108.72
256,George,King,F,Phoenix Suns,1.9788000000000001,99.66
281,Zach,Lofton,G,Detroit Pistons,,
263,Kosta,Koufos,C,Sacramento Kings,2.1336,110.985
348,James,Nunnally,F,Minnesota Timberwolves,,
382,Billy,Preston,F,Cleveland Cavaliers,,
384,Zhou,Qi,F,Houston Rockets,,
388,Zach,Randolph,F,Sacramento Kings,,
392,Malachi,Richardson,G,Toronto Raptors,,
430,DJ,Stephens,G,Memphis Grizzlies,,
437,Milos,Teodosic,G,LA Clippers,,
448,Gary,Trent Jr.,G,Portland Trail Blazers,,
494,Michael,Smith,,Boston Celtics,,
495,John,Morton,,Cleveland Cavaliers,,
496,Howard,Wright,,Atlanta Hawks,,
497,Michael,Ansley,,Orlando Magic,,
498,John,Salley,,Detroit Pistons,,
499,Dan,Schayes,,Milwaukee Bucks,,
500,Mark,Eaton,,Utah Jazz,,
501,Kevin,Johnson,,Phoenix Suns,,
502,Danny,Ainge,,Portland Trail Blazers,,
503,Kenny,Smith,,Houston Rockets,,
504,Randy,Breuer,,Minnesota Timberwolves,,
505,Herb,Williams,,Dallas Mavericks,,
506,Joe,Wolf,,Denver Nuggets,,
507,Steve,Johnson,,Golden State Warriors,,
508,Glen,Rice,,Miami Heat,,
509,Greg,Foster,,Washington Wizards,,
510,Larry,Nance,,Cleveland Cavaliers,,
511,Duane,Ferrell,,Atlanta Hawks,,
512,Nick,Anderson,,Orlando Magic,,
513,Joe,Dumars,,Detroit Pistons,,
514,Jay,Humphries,,Milwaukee Bucks,,
515,Darrell,Griffith,,Utah Jazz,,
516,Dan,Majerle,,Phoenix Suns,,
517,Tom,Chambers,,Phoenix Suns,,
518,Alaa,Abdelnaby,,Portland Trail Blazers,,
519,Adrian,Caldwell,,Houston Rockets,,
520,Vernon,Maxwell,,Houston Rockets,,
521,Doug,West,,Minnesota Timberwolves,,
522,Tony,Campbell,,Minnesota Timberwolves,,
523,Roy,Tarpley,,Dallas Mavericks,,
524,Anthony,Cook,,Denver Nuggets,,
525,Todd,Lichti,,Denver Nuggets,,
526,Tom,Tolbert,,Golden State Warriors,,
527,Billy,Thompson,,Miami Heat,,
528,Byron,Irvin,,Washington Wizards,,
529,Mark,Price,,Cleveland Cavaliers,,
530,Dominique,Wilkins,,Atlanta Hawks,,
531,Dennis,Scott,,Orlando Magic,,
